,Code_Postal,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,Ville
204,13580,,,,,,,,1.0,,,,,LA FARE-LES-OLIVIERS
205,13600,,1.0,2.0,9.0,,,2.0,1.0,,1.0,,,CEYRESTE
206,13680,,,,,,,,33.0,1.0,2.0,,,LANCON-PROVENCE
207,13690,,,,1.0,,,,,,,,,GRAVESON
208,13700,,,1.0,,15.0,,,14.0,,2.0,,3.0,MARIGNANE
209,13710,,,,,,,,1.0,4.0,,,,FUVEAU
210,13730,,,,,,,,,,4.0,,,SAINT-VICTORET
211,13760,,,,,,,,,1.0,,,,SAINT-CANNAT
212,13770,,,,,,,,5.0,,1.0,,,VENELLES
213,13790,,,,,,,,,,,7.0,,PEYNIER
214,13800,,,,,,,2.0,12.0,14.0,,2.0,,ISTRES
215,13860,,,,,,,,,,1.0,,,PEYROLLES-EN-PROVENCE
